Region,Month,Year,ECATs,ACATs,V&T,ATV ,Snowmobile,Nav. Law,Penal/Other,TOTs,CFS,Warrants,Outreach,Warnings
1,1,2011,98,3,21,1,0,0,1,0,114,1,2,13
2,1,2011,189,1,16,0,0,0,7,0,71,0,2,4
3,1,2011,86,0,15,0,3,0,4,4,108,0,6,3
4,1,2011,59,0,13,0,29,0,1,4,129,3,14,8
5,1,2011,79,1,4,4,37,0,2,1,124,0,23,2
6,1,2011,50,0,6,3,42,0,3,1,92,0,1,7
7,1,2011,78,7,5,10,22,0,0,0,67,7,7,3
8,1,2011,81,5,7,1,11,0,2,2,127,0,33,22
9,1,2011,74,10,31,13,90,2,7,0,109,0,9,6
1,1,2012,110,6,14,0,0,0,1,0,160,0,6,5
2,1,2012,212,16,17,0,0,7,17,0,79,8,1,6
4,1,2012,48,8,9,0,0,0,0,10,171,1,14,2
5,1,2012,53,31,8,7,8,0,4,2,155,10,21,4
6,1,2012,81,0,10,0,2,0,1,0,125,0,7,35
7,1,2012,55,12,12,0,3,0,1,0,60,0,14,2
8,1,2012,102,5,25,2,0,2,3,2,125,0,17,25
9,1,2012,93,5,24,4,16,0,1,0,156,7,7,10
1,1,2013,201,2,30,1,0,0,10,0,141,0,3,1
2,1,2013,166,9,12,0,0,0,5,0,129,4,2,7
3,1,2013,53,0,34,6,0,0,0,8,103,0,0,8
4,1,2013,84,20,5,0,7,0,1,10,188,4,19,15
5,1,2013,63,26,3,5,16,0,3,0,119,0,10,2
6,1,2013,67,0,19,6,16,0,0,2,63,7,7,9
7,1,2013,72,6,13,1,6,1,0,0,81,0,23,10
8,1,2013,53,4,11,2,3,3,1,1,142,22,14,19
9,1,2013,55,6,22,2,36,0,2,0,130,3,4,4
1,1,2014,211,4,27,9,0,2,7,0,221,0,2,5
2,1,2014,115,22,14,0,0,1,1,0,99,8,1,12
3,1,2014,93,0,15,3,0,0,4,0,105,0,0,16
4,1,2014,39,1,2,0,0,0,0,4,118,0,19,7
5,1,2014,43,21,6,10,24,0,1,0,128,1,20,6
6,1,2014,59,0,15,1,16,0,3,4,84,1,10,15
7,1,2014,94,2,13,7,10,0,0,0,73,1,20,8
8,1,2014,56,5,12,1,3,1,3,0,102,2,21,20
9,1,2014,43,6,22,0,18,0,3,0,112,19,9,8
1,1,2015,358,4,56,14,0,0,8,0,480,6,6,62
2,1,2015,149,9,13,0,0,0,2,0,130,1,4,23
3,1,2015,79,0,18,0,0,0,5,0,122,0,11,5
4,1,2015,63,6,2,2,4,0,0,0,118,2,12,15
5,1,2015,73,9,9,12,16,1,2,1,155,2,9,6
6,1,2015,148,0,25,0,42,2,4,4,129,8,34,10
7,1,2015,114,0,7,6,7,0,5,0,115,3,17,14
8,1,2015,53,16,16,4,5,0,4,2,173,7,24,38
9,1,2015,61,10,16,1,27,1,3,0,168,0,16,6
1,1,2016,179,2,15,0,0,3,2,0,323,0,0,31
2,1,2016,81,2,6,0,0,0,0,0,68,0,3,5
3,1,2016,106,0,22,0,0,1,6,0,145,0,2,4
4,1,2016,56,8,1,0,0,0,0,0,116,0,16,3
6,1,2016,60,0,11,3,8,3,6,6,99,0,12,6
7,1,2016,103,9,13,1,16,0,0,0,134,5,11,15
8,1,2016,82,14,27,3,4,1,2,1,146,8,20,17
9,1,2016,80,1,6,1,5,0,4,0,142,6,13,7
1,2,2011,49,1,8,0,0,0,1,0,123,0,0,9
2,2,2011,162,7,17,0,0,0,2,1,76,1,1,4
3,2,2011,68,0,16,1,4,2,0,7,109,0,8,4
4,2,2011,19,3,9,1,21,0,1,3,113,3,34,1
5,2,2011,36,1,7,27,70,0,2,2,97,4,16,1
6,2,2011,49,0,9,0,24,0,2,3,66,0,7,7
7,2,2011,33,3,26,2,18,0,3,0,33,22,12,0
8,2,2011,49,16,8,7,30,1,0,5,159,6,24,42
9,2,2011,64,9,44,2,43,0,4,4,83,0,8,9
1,2,2012,89,4,4,0,0,0,7,0,103,0,3,16
2,2,2012,82,2,3,0,0,0,27,4,91,2,3,6
3,2,2012,137,0,19,0,0,0,6,6,185,1,9,23
4,2,2012,66,15,13,2,3,1,4,1,155,0,18,9
5,2,2012,72,9,9,7,28,0,16,4,151,2,26,1
6,2,2012,70,0,16,1,9,0,3,0,76,2,13,4
7,2,2012,63,4,16,4,0,0,0,0,90,0,8,9
8,2,2012,63,14,11,3,0,2,1,1,174,7,15,57
9,2,2012,64,9,29,7,0,0,3,0,161,10,14,2
1,2,2013,131,0,18,17,0,0,9,0,88,0,3,6
2,2,2013,127,3,15,0,0,0,4,0,72,1,0,8
3,2,2013,57,1,6,0,0,0,0,5,99,1,9,3
4,2,2013,50,19,3,7,6,0,0,0,151,1,15,30
5,2,2013,92,2,8,37,21,2,6,4,128,0,18,2
6,2,2013,48,0,14,6,14,0,4,4,50,1,9,15
7,2,2013,40,11,5,0,6,0,0,0,63,16,14,5
8,2,2013,55,7,5,5,3,0,0,1,159,23,23,24
9,2,2013,50,8,20,2,45,0,1,0,94,34,14,4
1,2,2014,178,4,17,1,0,1,5,0,147,1,11,11
2,2,2014,118,4,4,0,0,1,1,2,106,2,2,13
3,2,2014,73,0,7,4,0,0,5,0,101,0,7,3
4,2,2014,38,7,11,6,23,0,0,9,128,1,8,11
5,2,2014,51,5,13,22,56,0,6,0,112,0,16,6
6,2,2014,34,2,7,1,49,0,0,0,41,2,7,1
7,2,2014,96,11,21,4,16,0,2,0,66,1,23,7
8,2,2014,29,5,4,1,11,0,4,1,95,12,26,14
9,2,2014,76,9,22,0,43,1,3,1,102,33,4,10
1,2,2015,520,22,60,0,0,8,4,0,382,0,26,20
2,2,2015,151,22,6,0,0,0,2,0,139,5,11,26
3,2,2015,54,0,6,2,1,0,2,0,106,1,6,10
4,2,2015,18,8,6,0,40,0,0,0,92,7,15,2
5,2,2015,43,6,29,11,74,1,3,0,128,0,19,10
6,2,2015,81,2,18,6,82,0,0,6,115,2,40,15
7,2,2015,45,2,18,2,40,0,3,0,91,4,15,9
8,2,2015,47,7,11,0,21,0,13,0,176,27,31,34
9,2,2015,22,2,18,3,53,0,4,0,122,13,16,0
1,2,2016,113,2,26,1,0,1,11,2,214,0,6,6
2,2,2016,75,10,5,0,0,0,0,0,87,1,6,11
3,2,2016,107,0,3,3,1,0,1,2,147,1,3,5
4,2,2016,42,19,3,0,0,2,0,1,161,0,15,5
5,2,2016,58,8,10,14,1,0,0,0,137,0,28,3
6,2,2016,50,15,8,0,1,0,1,3,71,3,10,2
7,2,2016,53,15,12,3,6,0,1,0,135,4,16,16
8,2,2016,44,39,21,0,1,0,0,0,109,11,15,11
9,2,2016,52,1,10,4,13,0,1,0,143,12,8,5
1,3,2011,50,16,28,5,0,0,3,0,163,1,9,13
2,3,2011,224,16,16,0,0,0,26,0,94,1,0,3
3,3,2011,72,2,13,4,0,0,0,4,135,0,31,7
4,3,2011,45,2,2,2,0,0,0,1,161,2,20,10
5,3,2011,43,5,5,4,9,2,9,2,161,2,16,7
6,3,2011,47,1,9,3,6,0,0,0,100,1,28,12
7,3,2011,69,8,15,8,9,3,1,0,118,11,30,3
8,3,2011,68,3,10,3,0,2,3,2,182,6,48,53
9,3,2011,94,15,26,15,0,0,1,0,165,11,25,24
1,3,2012,104,8,8,0,0,1,5,0,128,3,5,9
2,3,2012,64,9,1,0,0,0,3,0,84,0,1,19
3,3,2012,164,0,21,1,0,0,6,6,196,0,14,44
4,3,2012,88,16,5,16,0,3,0,3,224,0,25,31
5,3,2012,88,0,2,4,13,3,3,5,175,0,23,5
6,3,2012,96,0,5,11,9,2,3,0,138,3,17,11
7,3,2012,114,4,7,7,0,0,0,0,142,48,23,7
8,3,2012,127,5,17,0,0,12,6,2,178,3,28,41
9,3,2012,123,8,26,0,0,13,2,0,238,17,20,13
1,3,2013,112,1,4,9,0,0,14,0,101,0,4,3
2,3,2013,118,5,5,0,0,0,2,0,89,4,3,10
3,3,2013,109,0,5,0,0,0,1,6,123,0,19,21
4,3,2013,53,19,3,6,2,0,7,3,215,0,17,24
5,3,2013,61,26,4,17,14,1,11,0,138,0,29,6
6,3,2013,38,0,10,1,6,3,0,1,82,0,18,4
7,3,2013,56,19,10,1,2,1,0,0,100,30,23,4
8,3,2013,73,0,4,3,0,3,1,2,177,14,38,29
9,3,2013,62,13,17,3,33,0,0,0,146,32,32,5
1,3,2014,203,6,21,15,0,0,28,0,217,2,8,9
2,3,2014,92,21,16,0,0,0,0,3,128,0,9,16
3,3,2014,112,0,3,0,0,0,5,0,114,0,14,15
4,3,2014,56,35,3,5,5,0,1,2,201,1,6,11
5,3,2014,55,19,10,7,19,5,7,0,131,1,30,5
6,3,2014,46,7,5,0,31,0,1,0,66,2,22,5
7,3,2014,83,3,28,5,15,0,1,0,124,0,20,10
8,3,2014,79,2,7,2,0,0,3,0,160,46,32,22
9,3,2014,50,2,48,5,5,2,13,0,131,15,22,4
1,3,2015,436,14,86,14,0,0,24,0,382,0,10,46
2,3,2015,129,12,6,0,0,0,3,0,141,15,8,30
3,3,2015,95,1,6,0,1,0,2,4,136,1,16,6
4,3,2015,44,19,2,1,8,2,3,0,159,0,23,8
5,3,2015,44,9,17,14,32,2,0,0,145,1,21,4
6,3,2015,152,8,36,5,10,0,8,0,202,10,62,11
8,3,2015,68,4,21,2,16,0,10,2,252,14,53,53
9,3,2015,58,8,13,1,4,0,3,0,192,36,18,7
1,3,2016,90,16,13,6,0,0,4,0,236,3,6,20
2,3,2016,57,2,3,0,0,0,0,0,82,3,18,6
3,3,2016,103,0,3,2,0,2,0,0,222,2,17,16
4,3,2016,79,30,1,1,0,0,0,0,177,2,17,9
5,3,2016,76,10,10,6,0,1,2,0,210,2,21,7
6,3,2016,61,3,5,3,0,0,0,2,82,0,16,6
7,3,2016,117,11,10,12,0,1,0,0,247,3,21,18
8,3,2016,65,5,6,5,0,11,3,0,175,9,43,23
9,3,2016,85,5,12,3,0,1,0,3,177,7,20,12
1,4,2011,46,5,1,0,0,0,2,0,177,0,10,10
2,4,2011,215,29,20,0,0,3,34,0,91,1,1,7
3,4,2011,155,0,11,0,0,1,6,13,152,0,26,3
4,4,2011,77,6,4,0,0,2,7,4,187,3,32,7
5,4,2011,89,2,5,4,2,3,3,0,196,1,43,11
6,4,2011,102,1,10,23,0,4,3,5,134,0,33,21
7,4,2011,144,2,12,10,0,0,0,0,169,0,35,10
8,4,2011,128,2,6,1,0,8,1,20,204,4,46,53
9,4,2011,156,11,28,9,0,13,1,1,193,1,37,16
1,4,2012,184,9,12,0,0,0,3,0,158,0,3,9
2,4,2012,50,4,3,0,0,0,5,0,90,2,3,28
3,4,2012,185,0,13,4,0,1,0,2,203,1,18,61
4,4,2012,136,6,5,3,0,17,0,1,272,1,26,76
5,4,2012,112,11,14,0,0,0,3,1,165,0,39,13
6,4,2012,114,0,7,13,0,0,1,0,137,3,36,10
7,4,2012,129,6,12,6,0,1,2,0,151,2,43,10
8,4,2012,106,14,34,1,0,5,12,8,175,3,42,21
9,4,2012,141,4,26,10,0,13,4,0,190,0,28,19
1,4,2013,118,2,6,5,0,0,8,0,114,0,8,10
2,4,2013,124,4,3,0,0,0,8,0,93,0,0,39
3,4,2013,127,0,2,0,0,0,1,10,158,1,20,16
4,4,2013,121,9,0,5,0,3,2,1,258,1,34,33
5,4,2013,144,8,6,1,0,1,13,0,199,1,42,6
6,4,2013,88,5,5,17,0,5,1,0,130,0,40,23
7,4,2013,131,5,26,1,0,6,0,2,182,16,41,15
8,4,2013,123,7,45,2,0,4,26,0,156,5,45,32
9,4,2013,236,4,7,10,0,14,1,2,264,0,31,30
1,4,2014,168,3,6,2,0,0,5,0,207,0,11,13
2,4,2014,80,10,9,0,0,0,0,4,103,5,11,19
3,4,2014,183,2,8,1,0,3,0,0,187,1,13,21
4,4,2014,98,6,3,2,0,5,0,6,234,0,27,28
5,4,2014,94,5,5,1,0,7,0,2,149,0,36,15
6,4,2014,112,1,5,18,0,4,2,1,130,1,24,9
7,4,2014,221,5,11,4,0,0,2,0,212,2,30,13
8,4,2014,118,7,17,4,0,0,6,1,189,17,42,41
9,4,2014,110,4,27,4,0,4,3,0,197,0,27,16
1,4,2015,356,2,52,10,0,0,8,0,504,0,26,46
2,4,2015,171,7,20,0,0,2,33,0,162,0,10,25
3,4,2015,194,0,5,0,0,0,1,0,206,1,9,25
4,4,2015,64,16,1,3,0,0,0,0,208,1,51,19
5,4,2015,155,7,10,1,0,1,3,0,243,2,30,19
6,4,2015,242,10,6,20,0,6,8,4,378,2,70,23
7,4,2015,192,9,17,5,0,2,1,0,309,1,41,35
8,4,2015,169,11,33,2,0,1,20,3,257,11,47,66
9,4,2015,129,7,23,15,0,5,9,0,243,14,51,39
1,4,2016,133,7,27,1,0,3,4,12,221,0,11,8
2,4,2016,70,0,8,0,0,1,0,0,105,1,11,9
3,4,2016,175,0,3,0,0,1,0,0,194,1,17,8
4,4,2016,122,10,2,12,0,10,0,1,191,0,33,16
5,4,2016,136,12,3,5,0,6,6,0,243,2,43,19
6,4,2016,103,1,7,1,0,4,1,4,128,0,26,7
7,4,2016,188,14,14,6,0,1,0,0,273,2,37,29
8,4,2016,144,4,19,0,0,2,24,2,191,6,55,26
9,4,2016,120,13,16,5,0,15,0,0,241,3,39,17
1,5,2011,74,13,14,0,0,9,1,0,188,0,5,15
2,5,2011,192,22,8,0,0,1,22,0,102,0,6,8
3,5,2011,124,0,10,1,0,4,0,5,176,0,22,1
4,5,2011,116,12,4,4,0,4,1,1,229,0,18,16
5,5,2011,225,6,14,8,0,13,17,0,180,1,24,10
6,5,2011,119,0,6,9,1,2,15,2,137,1,18,10
7,5,2011,154,4,14,9,0,15,1,0,144,2,12,6
8,5,2011,212,9,16,8,0,16,1,0,186,3,16,31
9,5,2011,157,12,24,1,0,11,6,2,237,2,19,18
1,5,2012,114,2,8,3,0,6,2,0,161,1,2,42
2,5,2012,108,39,4,1,0,2,12,1,120,0,12,39
3,5,2012,158,4,7,0,0,0,1,3,189,0,18,43
4,5,2012,101,29,10,2,0,10,0,6,288,5,18,50
5,5,2012,169,3,7,7,0,36,23,4,200,3,26,6
6,5,2012,128,9,10,4,0,11,39,2,147,2,15,11
7,5,2012,192,5,8,7,0,13,0,0,143,2,10,11
8,5,2012,132,5,31,4,0,6,3,1,198,4,15,37
9,5,2012,227,9,55,6,0,32,3,0,223,0,18,29
1,5,2013,102,3,4,3,0,0,2,11,154,0,3,7
2,5,2013,71,10,10,0,0,0,3,0,99,1,6,27
3,5,2013,145,0,7,3,0,3,2,10,121,1,15,18
4,5,2013,127,10,1,8,0,2,3,2,240,9,15,45
5,5,2013,132,6,8,1,0,4,12,1,218,5,36,3
6,5,2013,96,0,2,1,0,0,21,1,106,0,22,16
7,5,2013,144,14,7,5,0,2,0,1,168,0,12,13
8,5,2013,119,2,14,4,0,2,21,0,136,1,42,24
9,5,2013,144,17,25,0,0,4,2,0,204,0,16,24
1,5,2014,280,3,13,2,0,1,8,0,306,0,12,58
2,5,2014,57,13,4,0,0,1,0,1,83,7,10,12
3,5,2014,164,0,3,0,0,0,1,0,168,0,19,20
4,5,2014,141,10,3,9,0,0,0,9,189,5,7,26
5,5,2014,177,9,10,1,0,18,15,0,190,0,23,8
6,5,2014,124,0,7,8,0,5,0,2,129,3,20,12
7,5,2014,188,4,8,1,0,9,1,0,172,1,5,11
8,5,2014,174,6,17,5,0,4,23,0,223,5,27,51
9,5,2014,203,7,6,4,0,8,12,1,230,8,6,23
1,5,2015,468,12,34,12,0,22,10,2,596,2,16,52
2,5,2015,196,17,7,0,0,1,4,0,171,0,18,34
3,5,2015,220,0,2,0,0,3,1,1,200,1,7,32
4,5,2015,110,2,0,1,0,4,0,0,231,2,45,22
5,5,2015,221,55,27,12,0,25,7,1,254,1,20,12
6,5,2015,256,0,6,40,0,20,10,2,284,0,44,8
7,5,2015,215,7,7,7,0,13,1,1,300,1,12,24
8,5,2015,178,6,24,0,0,5,18,0,231,1,20,30
9,5,2015,198,8,29,10,0,12,7,1,235,0,14,36
1,5,2016,158,3,7,9,0,2,2,0,226,0,3,15
2,5,2016,78,5,6,0,0,1,0,0,124,4,7,9
3,5,2016,148,0,3,0,0,3,1,0,193,0,6,11
4,5,2016,131,3,8,5,0,3,0,0,196,2,14,30
5,5,2016,162,26,15,8,0,29,10,2,287,1,17,11
6,5,2016,119,2,4,4,0,1,12,2,138,2,21,16
7,5,2016,182,5,8,7,0,15,0,1,257,3,8,30
8,5,2016,96,5,26,0,0,2,16,1,200,1,33,43
9,5,2016,138,6,3,1,0,16,1,0,196,1,13,11
1,6,2011,121,8,15,0,0,13,0,3,178,2,9,11
2,6,2011,238,38,8,0,0,2,13,0,113,2,5,8
3,6,2011,128,0,18,4,0,2,0,7,163,2,4,6
4,6,2011,97,9,9,2,0,9,1,3,225,2,46,9
5,6,2011,110,16,14,0,0,11,14,2,156,0,29,10
6,6,2011,103,6,4,3,0,12,8,1,135,0,9,26
7,6,2011,138,6,11,4,0,7,2,0,152,3,22,5
8,6,2011,165,5,21,4,0,22,9,1,146,3,20,22
9,6,2011,126,10,40,3,0,11,1,0,185,2,9,9
1,6,2012,165,5,19,0,0,11,0,0,142,0,8,14
2,6,2012,123,16,9,0,0,0,6,1,89,0,10,27
3,6,2012,103,4,7,0,0,2,1,3,153,3,7,27
4,6,2012,104,13,7,4,0,16,2,5,263,1,17,27
5,6,2012,162,6,5,0,0,14,16,5,192,2,21,8
6,6,2012,131,3,15,1,0,6,59,4,143,0,8,12
7,6,2012,108,9,3,7,0,21,1,0,126,0,12,11
8,6,2012,95,2,49,3,0,2,4,0,137,3,15,32
9,6,2012,154,5,23,0,0,28,1,1,201,2,14,13
